,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,scaled_1960,scaled_1961,scaled_1962,scaled_1963,scaled_1964,scaled_1965,scaled_1966,scaled_1967,scaled_1968,scaled_1969,scaled_1970,scaled_1971,scaled_1972,scaled_1973,scaled_1974,scaled_1975,scaled_1976,scaled_1977,scaled_1978,scaled_1979,scaled_1980,scaled_1981,scaled_1982,scaled_1983,scaled_1984,scaled_1985,scaled_1986,scaled_1987,scaled_1988,scaled_1989,scaled_1990,scaled_1991,scaled_1992,scaled_1993,scaled_1994,scaled_1995,scaled_1996,scaled_1997,scaled_1998,scaled_1999,scaled_2000,scaled_2001,scaled_2002,scaled_2003,scaled_2004,scaled_2005,scaled_2006,scaled_2007,scaled_2008,scaled_2009,scaled_2010,scaled_2011,scaled_2012,scaled_2013,scaled_2014,scaled_2015,scaled_2016,scaled_2017,avg_population_growth
0,Aruba,ABW,"Population, total",SP.POP.TOTL,54211.0,55438.0,56225.0,56695.0,57032.0,57360.0,57715.0,58055.0,58386.0,58726.0,59063.0,59440.0,59840.0,60243.0,60528.0,60657.0,60586.0,60366.0,60103.0,59980.0,60096.0,60567.0,61345.0,62201.0,62836.0,63026.0,62644.0,61833.0,61079.0,61032.0,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100832.0,101220.0,101353.0,101453.0,101669.0,102053.0,102577.0,103187.0,103795.0,104341.0,104822.0,105264.0,-0.3153001873048402,-0.31574857712784277,-0.315844322239446,-0.3156500004488508,-0.31548113635178254,-0.3152943617366795,-0.31503131909672144,-0.3148037568240353,-0.31455485641952585,-0.3142951906912399,-0.3140080897358925,-0.3137239744832272,-0.31349691534200147,-0.31329022781243804,-0.31313858514259263,-0.31304620690598156,-0.312984383539365,-0.312965252436972,-0.31295492102164035,-0.3129455344938257,-0.31294149566550983,-0.3129211660215806,-0.3128515335136429,-0.31277821172437414,-0.3127262839574343,-0.3126755220287392,-0.3126176829652698,-0.31254894807425915,-0.31249246726558966,-0.3124662175648095,-0.312544041372403,-0.31257374814269295,-0.3126180649396709,-0.31270601385308017,-0.3127830562891727,-0.31287896344101457,-0.3129487765081083,-0.31302037977389185,-0.3130931291751572,-0.31318816479622763,-0.31330242705941824,-0.3134431998911359,-0.31360401153210915,-0.3137845861444889,-0.31398070163988645,-0.3141852512998756,-0.31440533732220716,-0.3146429069357767,-0.3148913189991695,-0.31513100932026117,-0.31536512629969804,-0.31556879484608796,-0.3157831234548901,-0.3160231363268828,-0.3162646321940377,-0.31650500487089006,-0.3167423526359536,-0.3169735360356108,75239.12068965517
1,Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351.0,9166764.0,9345868.0,9533954.0,9731361.0,9938414.0,10152331.0,10372630.0,10604346.0,10854428.0,11126123.0,11417825.0,11721940.0,12027822.0,12321541.0,12590286.0,12840299.0,13067538.0,13237734.0,13306695.0,13248370.0,13053954.0,12749645.0,12389269.0,12047115.0,11783050.0,11601041.0,11502761.0,11540888.0,11777609.0,12249114.0,12993657.0,13981231.0,15095099.0,16172719.0,17099541.0,17822884.0,18381605.0,18863999.0,19403676.0,20093756.0,20966463.0,21979923.0,23064851.0,24118979.0,25070798.0,25893450.0,26616792.0,27294031.0,28004331.0,28803167.0,29708599.0,30696958.0,31731688.0,32758020.0,33736494.0,34656032.0,35530081.0,-0.2910805926362889,-0.2913633969665096,-0.29140769523945775,-0.2912641728694939,-0.29112286844352653,-0.29095286498785117,-0.29072246475829405,-0.29050841227166174,-0.29025752541610284,-0.2899808044805234,-0.28964037591285446,-0.28927542556656966,-0.2889367702274758,-0.2886154101961507,-0.2883758725687135,-0.2882346578041652,-0.28815177444196854,-0.288150451208225,-0.2882710004600159,-0.2885845158913925,-0.2891269944886539,-0.2898876322784046,-0.29078197738345785,-0.2917376884002797,-0.29264452884758835,-0.293395680046214,-0.2939878649952692,-0.294421325561846,-0.2946395355376196,-0.2945743898228088,-0.29426486544967934,-0.29350955261434064,-0.2924347266396894,-0.2912576088465832,-0.2901563300142461,-0.28931759306518134,-0.2887528845411192,-0.2884288857353926,-0.28821353289143736,-0.28794739431808536,-0.2875113969651805,-0.2868810541802943,-0.2861104401362906,-0.2852941977113621,-0.2845563293572384,-0.28397484605776296,-0.2835826623049258,-0.2833397579006926,-0.28317705442386487,-0.2829813717740238,-0.2826923567012428,-0.2822672684326414,-0.2817835684186375,-0.28129595379806316,-0.28083856587050393,-0.280448048920608,-0.28013366656789235,-0.2798730645959473,17359239.48275862
2,Angola,AGO,"Population, total",SP.POP.TOTL,5643182.0,5753024.0,5866061.0,5980417.0,6093321.0,6203299.0,6309770.0,6414995.0,6523791.0,6642632.0,6776381.0,6927269.0,7094834.0,7277960.0,7474338.0,7682479.0,7900997.0,8130988.0,8376147.0,8641521.0,8929900.0,9244507.0,9582156.0,9931562.0,10277321.0,10609042.0,10921037.0,11218268.0,11513968.0,11827237.0,12171441.0,12553446.0,12968345.0,13403734.0,13841301.0,14268994.0,14682284.0,15088981.0,15504318.0,15949766.0,16440924.0,16983266.0,17572649.0,18203369.0,18865716.0,19552542.0,20262399.0,20997687.0,21759420.0,22549547.0,23369131.0,24218565.0,25096150.0,25998340.0,26920466.0,27859305.0,28813463.0,29784193.0,-0.3001625790551049,-0.30049979104613633,-0.3005614103704857,-0.3004077385965533,-0.3002828166922321,-0.3001541394297275,-0.29997573953719814,-0.2998303771550944,-0.29965890713124993,-0.299466730878339,-0.2992177404758052,-0.2989411991804232,-0.2986813612376963,-0.2984087007649896,-0.29816543030560233,-0.29795324519112915,-0.2977494669550937,-0.2975682944569935,-0.29737757108044277,-0.2971638799524135,-0.29692499814684425,-0.29664068489027096,-0.2962913896985232,-0.295932639012809,-0.2956101281717425,-0.29532696352534515,-0.2950857948670592,-0.29487209159336236,-0.2946814004259742,-0.29449860526327576,-0.29438136684534644,-0.29415865508623673,-0.2939041025237416,-0.29367244340305054,-0.29343368430405137,-0.29323619673732465,-0.2930364793510113,-0.29285443568796843,-0.2926651888792122,-0.2924610279990401,-0.2922212283352169,-0.29194977431070745,-0.29164720433170593,-0.2913246100933331,-0.2909914837662015,-0.29065100262074395,-0.2903118766475232,-0.2899734326808854,-0.28963195811431386,-0.2892663624654147,-0.2888782709771357,-0.28844247415443414,-0.2880077499061951,-0.2875910046604876,-0.2871716383954593,-0.28674897009221667,-0.28632415235267344,-0.2858907429269181,13576692.172413792
3,Albania,ALB,"Population, total",SP.POP.TOTL,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,-0.31108961629430043,-0.311454728305619,-0.3114905580821023,-0.3112605016181085,-0.3110570584011153,-0.3108418432290151,-0.3105598175904587,-0.3103106570663169,-0.3100301675154348,-0.30973900253800013,-0.309436187996354,-0.30914263573257295,-0.30889895948615115,-0.3086789817390104,-0.3085144478336848,-0.3084042028766363,-0.30832488088394455,-0.30828512872688824,-0.308260455953793,-0.30824158486146247,-0.30822509991589686,-0.30819602154435044,-0.308115365336485,-0.3080301511862551,-0.3079646979873603,-0.3079020666539887,-0.30783850146173514,-0.3077610897698821,-0.3077006217865116,-0.30763017832858486,-0.3077077883027504,-0.3078520688474762,-0.3080066299531781,-0.30820179447609425,-0.30838193268316266,-0.3085770019589977,-0.30874124462624375,-0.3089036913329257,-0.3090633977429801,-0.30924186940299564,-0.30943668837829974,-0.3096672665077327,-0.3098904292534936,-0.3101344470624609,-0.31039370589826176,-0.3106628818987042,-0.3109496822317624,-0.3112561280255423,-0.3115721328518912,-0.31187482199858974,-0.31216478267456194,-0.31241581282131403,-0.3126738998667499,-0.3129577051027434,-0.31324289331138055,-0.31352847338520023,-0.3138060478605778,-0.3140744027716062,2703056.2586206896
4,Andorra,AND,"Population, total",SP.POP.TOTL,13411.0,14375.0,15370.0,16412.0,17469.0,18549.0,19647.0,20758.0,21890.0,23058.0,24276.0,25559.0,26892.0,28232.0,29520.0,30705.0,31777.0,32771.0,33737.0,34818.0,36067.0,37500.0,39114.0,40867.0,42706.0,44600.0,46517.0,48455.0,50434.0,52448.0,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80991.0,82683.0,83861.0,84462.0,84449.0,83751.0,82431.0,80788.0,79223.0,78014.0,77281.0,76965.0,-0.3154106932309918,-0.31585847646115217,-0.31595179228927295,-0.3157536521789955,-0.315580749064277,-0.3153899707506894,-0.31512299068353117,-0.3148916076046801,-0.3146389412626602,-0.31437552317238504,-0.3140846845732533,-0.31379690221774625,-0.31356630315905276,-0.3133562282613772,-0.3132012098369381,-0.31310551875940495,-0.31304036309348227,-0.3130178975807363,-0.3130043089768447,-0.3129918080001308,-0.3129848856230417,-0.31296205717050535,-0.312890201286499,-0.3128146257787621,-0.3127600152924909,-0.31270583343154607,-0.3126437215106936,-0.3125701448979758,-0.31250902193633756,-0.3124793257831345,-0.31255550057525205,-0.3125854720972376,-0.31263162446797743,-0.31272248001321695,-0.3128027689014996,-0.3129017700140532,-0.3129744731667781,-0.3130487721190847,-0.3131237835918346,-0.31322035827137035,-0.3133352581439508,-0.3134757218277544,-0.3136353468902753,-0.3138141522066741,-0.31400825516768827,-0.3142108561608134,-0.3144290476991459,-0.3146647909243123,-0.3149117195612602,-0.31515058631484744,-0.315384728938295,-0.31558938098728856,-0.31580551171748517,-0.3160477297833183,-0.3162912899788022,-0.3165332299886606,-0.3167715336638539,-0.31700317362671737,50666.74137931035
5,Arab World,ARB,"Population, total",SP.POP.TOTL,92490932.0,95044497.0,97682294.0,100411076.0,103239902.0,106174988.0,109230593.0,112406932.0,115680165.0,119016542.0,122398374.0,125807419.0,129269375.0,132863416.0,136696761.0,140843298.0,145332378.0,150133054.0,155183724.0,160392488.0,165689490.0,171051950.0,176490084.0,182005827.0,187610756.0,193310301.0,199093767.0,204942549.0,210844771.0,216787402.0,224735446.0,230829868.0,235037179.0,241286091.0,247435930.0,255029671.0,260843462.0,266575075.0,272235146.0,277962869.0,283832016.0,289850357.0,296026575.0,302434519.0,309162029.0,316264728.0,323773264.0,331653797.0,339825483.0,348145094.0,356508908.0,364895878.0,373306993.0,381702086.0,390043028.0,398304960.0,406452690.0,414491886.0,-0.0649373082725316,-0.06152374563015441,-0.05903662428720891,-0.0574292815786492,-0.05568472142701113,-0.05387873776019144,-0.05213200831472624,-0.05017291388700393,-0.04816842639631056,-0.04637502385008875,-0.044638508315384046,-0.043055599027357096,-0.041384265838019706,-0.039475944017925244,-0.03718391769736795,-0.03426417673933514,-0.03070279993773909,-0.026659826277945387,-0.022382272721233918,-0.018090303595993486,-0.013859038147950224,-0.0098026804317316,-0.005977960352677598,-0.002226740237130208,0.001543051794927476,0.005222882066131996,0.00873662577057996,0.01207509288823231,0.01530975162546187,0.018486319100900123,0.024442461912158552,0.027695558181585655,0.028247244497737484,0.03168499895435328,0.03493830194149364,0.04007240863114476,0.0427129775927983,0.04516298487847783,0.04750916925556326,0.04994255708345191,0.05254331412659861,0.05528058288201311,0.058168515668826845,0.06124916191731099,0.06461637338994713,0.06832056518624863,0.07238944960438976,0.0767738699980642,0.08132199038636408,0.0858841443288619,0.0903562615898314,0.09475232801301565,0.09895918107366096,0.10296145666314263,0.10677444254761904,0.11040498744087354,0.11380296065518654,0.11701428200984713,225806381.60344827
6,United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,92634.0,101078.0,112472.0,125566.0,138529.0,150362.0,160481.0,170283.0,183194.0,203820.0,235499.0,278808.0,332760.0,397174.0,471364.0,554324.0,646943.0,748117.0,852262.0,952040.0,1042384.0,1120900.0,1189545.0,1253060.0,1318478.0,1391052.0,1472218.0,1560718.0,1655849.0,1756043.0,1860174.0,1970026.0,2086639.0,2207405.0,2328686.0,2448820.0,2571020.0,2700010.0,2838145.0,2988162.0,3154925.0,3326032.0,3507232.0,3741932.0,4087931.0,4579562.0,5242032.0,6044067.0,6894278.0,7666393.0,8270684.0,8672475.0,8900453.0,9006263.0,9070867.0,9154302.0,9269612.0,9400145.0,-0.31519611943227843,-0.31562642809897873,-0.31569636316729777,-0.31547278926033967,-0.3152759411635975,-0.3150652558254443,-0.3147838481949117,-0.31453941069940833,-0.314267305424844,-0.31396840586957125,-0.31361960878828027,-0.3132517921017751,-0.3129221513797086,-0.31259554169636783,-0.31230884833511985,-0.312068632629006,-0.31184501725058195,-0.31165317596409436,-0.31147107390009204,-0.3113050152968409,-0.3111677458380486,-0.31104150093237,-0.310889184481379,-0.31074558753789217,-0.31062223621708734,-0.310490873650145,-0.3103417942924112,-0.3101740339528244,-0.3100123458688125,-0.3098778468458874,-0.30984719147676,-0.30976418080711804,-0.30969000179942163,-0.30965792387283536,-0.30961736228763315,-0.3096000222600143,-0.3095555354586446,-0.3095062034031746,-0.30944816466698566,-0.309399492630023,-0.30935172184613435,-0.309328954125706,-0.3093172872989065,-0.30926326105324475,-0.30909400943404997,-0.30876577632721636,-0.3082615043542298,-0.30762703621144527,-0.30696886940850393,-0.30641470130862763,-0.3060658087190852,-0.30592876001705444,-0.30600603826842643,-0.3062478154756052,-0.3065363937379144,-0.30680256193990163,-0.30703181225286114,-0.30723899126504584,2838900.5
7,Argentina,ARG,"Population, total",SP.POP.TOTL,20619075.0,20953077.0,21287682.0,21621840.0,21953929.0,22283390.0,22608748.0,22932203.0,23261278.0,23605987.0,23973058.0,24366439.0,24782949.0,25213388.0,25644506.0,26066975.0,26477152.0,26878565.0,27277741.0,27684534.0,28105888.0,28543364.0,28993987.0,29454738.0,29920904.0,30388783.0,30857244.0,31326473.0,31795517.0,32263561.0,32729739.0,33193918.0,33655151.0,34110917.0,34558115.0,34994814.0,35419682.0,35833969.0,36241590.0,36648068.0,37057452.0,37471509.0,37889370.0,38309379.0,38728696.0,39145488.0,39558890.0,39970224.0,40382389.0,40799407.0,41223889.0,41656879.0,42096739.0,42539925.0,42981515.0,43417765.0,43847430.0,44271041.0,-0.25960069361609417,-0.259818991032306,-0.25999446930373155,-0.260160970583377,-0.2603485805450194,-0.26054161602915066,-0.2607261551976619,-0.2609251135447935,-0.261096627186656,-0.2612613816662648,-0.2613536913206347,-0.26140396120064824,-0.26143055124614945,-0.26142934054768474,-0.261468409626879,-0.2615477119374193,-0.26165363321863605,-0.2618020728082271,-0.2619717045188372,-0.2621433338064914,-0.2622982843863192,-0.26242936847875886,-0.2625271743312819,-0.2626093994567036,-0.2626938698565003,-0.2627886102817618,-0.26289692951407717,-0.2630115685971318,-0.263140360881285,-0.2632912664058846,-0.2635460648801912,-0.263723746834733,-0.2638941173383733,-0.26410790761361813,-0.264311347925934,-0.26454341249449775,-0.2647518807254407,-0.264971512931047,-0.2651878179416392,-0.2654121028545594,-0.2656390120395775,-0.2658779607069876,-0.26612374166497754,-0.2663841636089005,-0.2666596840215198,-0.26694685134069596,-0.26725219844553166,-0.2675752678106481,-0.26791236999417,-0.2682389120257298,-0.26855304633658994,-0.2688278094016806,-0.26911498455316474,-0.2694288210776809,-0.2697472534315067,-0.27006877995172146,-0.27039493371574025,-0.2707186422361863,32066843.53448276
8,Armenia,ARM,"Population, total",SP.POP.TOTL,1874120.0,1941491.0,2009526.0,2077575.0,2144998.0,2211316.0,2276031.0,2339124.0,2401140.0,2462925.0,2525065.0,2587706.0,2650484.0,2712781.0,2773747.0,2832757.0,2889579.0,2944379.0,2997411.0,3049105.0,3099751.0,3148092.0,3193686.0,3238594.0,3285595.0,3335935.0,3392256.0,3451942.0,3504651.0,3536469.0,3538165.0,3505251.0,3442810.0,3363098.0,3283660.0,3217342.0,3168215.0,3133086.0,3108684.0,3089017.0,3069588.0,3050655.0,3033897.0,3017806.0,3000612.0,2981259.0,2958500.0,2933056.0,2908220.0,2888584.0,2877311.0,2875581.0,2881922.0,2893509.0,2906220.0,2916950.0,2924816.0,2930450.0,-0.31037100275688545,-0.31070082203722005,-0.3107061174714367,-0.3104500970549928,-0.31022400325125127,-0.3099881957172327,-0.30968939023874376,-0.30943083963619783,-0.3091572757917221,-0.30888038552031,-0.30857838834970325,-0.3082819653441355,-0.308041071833536,-0.30782121094860354,-0.30765888601438945,-0.3075568109098874,-0.3074872900359138,-0.30746319485396145,-0.3074528488102524,-0.307448463730999,-0.3074526904151233,-0.3074478732403836,-0.30740325631982024,-0.30735656798857336,-0.30732598770130976,-0.30729147432173926,-0.3072417138882195,-0.3071774767890684,-0.3071371642447511,-0.3071590429410115,-0.3073303800568743,-0.3075004519534167,-0.30772262841085574,-0.30800789127013434,-0.3082749225640175,-0.30853608192221993,-0.3087409963888829,-0.3089241146280027,-0.3090896941576496,-0.30926769344449334,-0.30946175233196693,-0.3096793784063411,-0.30991192794989325,-0.31016150121879654,-0.3104259560083599,-0.31069945266682114,-0.3109903690521663,-0.31129976259965164,-0.3116177273850706,-0.31191968282398064,-0.3122054336748115,-0.3124491227320077,-0.3126944355911862,-0.31295944319111957,-0.3132243244263069,-0.31348961305763423,-0.31375443195069197,-0.31401471390521735,2910111.9827586208
9,American Samoa,ASM,"Population, total",SP.POP.TOTL,20013.0,20486.0,21117.0,21882.0,22698.0,23520.0,24321.0,25116.0,25885.0,26614.0,27292.0,27916.0,28492.0,29014.0,29488.0,29932.0,30321.0,30689.0,31102.0,31673.0,32457.0,33493.0,34738.0,36160.0,37688.0,39241.0,40837.0,42450.0,44047.0,45593.0,47038.0,48375.0,49593.0,50720.0,51803.0,52868.0,53929.0,54941.0,55901.0,56770.0,57521.0,58175.0,58731.0,59117.0,59264.0,59118.0,58650.0,57903.0,57030.0,56227.0,55637.0,55320.0,55230.0,55307.0,55437.0,55537.0,55599.0,55641.0,-0.3153928118553925,-0.31584212123075367,-0.31593667466899744,-0.31573957738407227,-0.3155675833570851,-0.31537772493355914,-0.3151117352197099,-0.3148813426047592,-0.3146297369951152,-0.3143675142483368,-0.31407804387329413,-0.3137918288530208,-0.31356293359163495,-0.3133546159296453,-0.31320127446510565,-0.31310704947731016,-0.3130431922868175,-0.3130218695752758,-0.3130092447752959,-0.31299759172866315,-0.31299140431906275,-0.3129691604277014,-0.3128978127378066,-0.31282265994741326,-0.3127684238289695,-0.312714649170591,-0.31265289240038213,-0.31257965954339506,-0.3125189547387863,-0.31248979372775443,-0.31256670629573446,-0.3125977047631792,-0.3126451085607996,-0.3127371158068146,-0.31281805485646236,-0.31291697347314695,-0.312988700441013,-0.3130613876536416,-0.3131347031097874,-0.3132302900924008,-0.3133454041520483,-0.3134873857973535,-0.31364956545194483,-0.31383159909841457,-0.31402905536784276,-0.314234749111043,-0.31445574562420964,-0.31469404513135296,-0.31494301200817626,-0.31518311862266596,-0.31541752749945967,-0.3156213602562469,-0.3158357402060609,-0.316075707186927,-0.3163170950442592,-0.3165573275300489,-0.31679450679652643,-0.31702550628839293,42442.362068965514
